id,task,response,memorize_prem,valid,continuous,indeterminate,correct,solution,p1_rt,p2_rt,p3_rt,p4_rt,rt,full_info
participant_10,task_det_1_nextto,no,True,True,True,False,True,no,-1,-1,-1,-1,10434,"{""premise1"": [""right"", ""A"", ""B""], ""premise2"": [""right"", ""C"", ""A""], ""premise3"": [""right"", ""D"", ""C""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_det_1_nextto"", ""task_ref"": ""task_2"", ""question"": {""question_name"": ""nextto_A_E"", ""form"": [""nextto"", ""A"", ""E""]}, ""continuous"": true, ""correct"": ""no""}"
participant_10,task_indet_4_between,no,True,True,True,True,True,no,-1,-1,-1,-1,10030,"{""premise1"": [""right"", ""A"", ""B""], ""premise2"": [""left"", ""C"", ""B""], ""premise3"": [""left"", ""D"", ""C""], ""premise4"": [""left"", ""E"", ""C""], ""task"": ""task_indet_4_between"", ""task_ref"": ""task_30"", ""question"": {""question_name"": ""between_C_B"", ""form"": [""between"", ""C"", ""B""]}, ""continuous"": true, ""correct"": ""no""}"
participant_10,task_det_3_between,yes,True,True,False,False,True,yes,-1,-1,-1,-1,4993,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""left"", ""B"", ""C""], ""premise3"": [""left"", ""D"", ""A""], ""premise4"": [""left"", ""E"", ""D""], ""task"": ""task_det_3_between"", ""task_ref"": ""task_9"", ""question"": {""question_name"": ""between_E_A"", ""form"": [""between"", ""E"", ""A""]}, ""continuous"": false, ""correct"": ""yes""}"
participant_10,task_indet_1_nextto,dontknow,True,True,True,True,False,yes,-1,-1,-1,-1,12293,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""left"", ""C"", ""A""], ""premise3"": [""left"", ""D"", ""A""], ""premise4"": [""right"", ""D"", ""E""], ""task"": ""task_indet_1_nextto"", ""task_ref"": ""task_23"", ""question"": {""question_name"": ""nextto_A_B"", ""form"": [""nextto"", ""A"", ""B""]}, ""continuous"": true, ""correct"": ""yes""}"
participant_10,task_indet_2_between,yes,True,False,True,True,False,nvc,-1,-1,-1,-1,13447,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""left"", ""B"", ""C""], ""premise3"": [""right"", ""D"", ""B""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_indet_2_between"", ""task_ref"": ""pmm_spatial_sort_1"", ""question"": {""question_name"": ""between_C_B"", ""form"": [""between"", ""C"", ""B""]}, ""continuous"": true, ""correct"": ""nvc""}"
participant_10,task_det_4_nextto,yes,True,True,True,False,True,yes,-1,-1,-1,-1,7703,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""right"", ""C"", ""B""], ""premise3"": [""left"", ""C"", ""D""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_det_4_nextto"", ""task_ref"": ""task_15"", ""question"": {""question_name"": ""nextto_D_C"", ""form"": [""nextto"", ""D"", ""C""]}, ""continuous"": true, ""correct"": ""yes""}"
participant_10,task_det_3_right,yes,True,True,False,False,True,yes,-1,-1,-1,-1,8454,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""left"", ""B"", ""C""], ""premise3"": [""left"", ""D"", ""A""], ""premise4"": [""left"", ""E"", ""D""], ""task"": ""task_det_3_right"", ""task_ref"": ""task_9"", ""question"": {""question_name"": ""right_C_D"", ""form"": [""right"", ""C"", ""D""]}, ""continuous"": false, ""correct"": ""yes""}"
participant_10,task_indet_3_nextto,no,True,False,True,True,False,nvc,-1,-1,-1,-1,5845,"{""premise1"": [""right"", ""A"", ""B""], ""premise2"": [""right"", ""C"", ""A""], ""premise3"": [""right"", ""D"", ""A""], ""premise4"": [""left"", ""D"", ""E""], ""task"": ""task_indet_3_nextto"", ""task_ref"": ""task_31"", ""question"": {""question_name"": ""nextto_C_A"", ""form"": [""nextto"", ""C"", ""A""]}, ""continuous"": true, ""correct"": ""nvc""}"
participant_10,task_det_2_nextto,no,False,True,False,False,True,no,-1,-1,-1,-1,22903,"{""premise1"": [""right"", ""A"", ""B""], ""premise2"": [""left"", ""C"", ""B""], ""premise3"": [""right"", ""D"", ""A""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_det_2_nextto"", ""task_ref"": ""task_13"", ""question"": {""question_name"": ""nextto_A_E"", ""form"": [""nextto"", ""A"", ""E""]}, ""continuous"": false, ""correct"": ""no""}"
participant_10,task_det_2_right,no,False,True,False,False,True,no,-1,-1,-1,-1,28935,"{""premise1"": [""right"", ""A"", ""B""], ""premise2"": [""left"", ""C"", ""B""], ""premise3"": [""right"", ""D"", ""A""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_det_2_right"", ""task_ref"": ""task_13"", ""question"": {""question_name"": ""right_C_D"", ""form"": [""right"", ""C"", ""D""]}, ""continuous"": false, ""correct"": ""no""}"
participant_10,task_indet_2_between,yes,False,False,True,True,False,nvc,-1,-1,-1,-1,7694,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""left"", ""B"", ""C""], ""premise3"": [""right"", ""D"", ""B""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_indet_2_between"", ""task_ref"": ""pmm_spatial_sort_1"", ""question"": {""question_name"": ""between_C_B"", ""form"": [""between"", ""C"", ""B""]}, ""continuous"": true, ""correct"": ""nvc""}"
participant_10,task_det_1_right,yes,False,True,True,False,False,no,-1,-1,-1,-1,4149,"{""premise1"": [""right"", ""A"", ""B""], ""premise2"": [""right"", ""C"", ""A""], ""premise3"": [""right"", ""D"", ""C""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_det_1_right"", ""task_ref"": ""task_2"", ""question"": {""question_name"": ""right_C_D"", ""form"": [""right"", ""C"", ""D""]}, ""continuous"": true, ""correct"": ""no""}"
participant_10,task_det_1_nextto,no,False,True,True,False,True,no,-1,-1,-1,-1,31119,"{""premise1"": [""right"", ""A"", ""B""], ""premise2"": [""right"", ""C"", ""A""], ""premise3"": [""right"", ""D"", ""C""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_det_1_nextto"", ""task_ref"": ""task_2"", ""question"": {""question_name"": ""nextto_A_E"", ""form"": [""nextto"", ""A"", ""E""]}, ""continuous"": true, ""correct"": ""no""}"
participant_10,task_indet_1_nextto,no,False,True,True,True,False,yes,-1,-1,-1,-1,35588,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""left"", ""C"", ""A""], ""premise3"": [""left"", ""D"", ""A""], ""premise4"": [""right"", ""D"", ""E""], ""task"": ""task_indet_1_nextto"", ""task_ref"": ""task_23"", ""question"": {""question_name"": ""nextto_A_B"", ""form"": [""nextto"", ""A"", ""B""]}, ""continuous"": true, ""correct"": ""yes""}"
participant_10,task_det_4_left,no,False,True,True,False,False,yes,-1,-1,-1,-1,7768,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""right"", ""C"", ""B""], ""premise3"": [""left"", ""C"", ""D""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_det_4_left"", ""task_ref"": ""task_15"", ""question"": {""question_name"": ""left_B_C"", ""form"": [""left"", ""B"", ""C""]}, ""continuous"": true, ""correct"": ""yes""}"
participant_10,task_det_4_nextto,yes,False,True,True,False,True,yes,-1,-1,-1,-1,8786,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""right"", ""C"", ""B""], ""premise3"": [""left"", ""C"", ""D""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_det_4_nextto"", ""task_ref"": ""task_15"", ""question"": {""question_name"": ""nextto_D_C"", ""form"": [""nextto"", ""D"", ""C""]}, ""continuous"": true, ""correct"": ""yes""}"
participant_10,task_indet_2_left,no,False,False,True,True,False,nvc,-1,-1,-1,-1,28875,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""left"", ""B"", ""C""], ""premise3"": [""right"", ""D"", ""B""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_indet_2_left"", ""task_ref"": ""pmm_spatial_sort_1"", ""question"": {""question_name"": ""left_E_C"", ""form"": [""left"", ""E"", ""C""]}, ""continuous"": true, ""correct"": ""nvc""}"
